locus_tag	ftype	length_bp	gene	EC_number	COG	product
IKELMNLG_01970	CDS	660	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
IKELMNLG_01971	CDS	480				hypothetical protein
IKELMNLG_01972	CDS	534				hypothetical protein
IKELMNLG_01973	CDS	2904	nrdJ	1.17.4.1	COG0209	Vitamin B12-dependent ribonucleotide reductase
IKELMNLG_01974	CDS	549	nrdR		COG1327	Transcriptional repressor NrdR
IKELMNLG_01975	CDS	780	lexA	3.4.21.88	COG1974	LexA repressor
IKELMNLG_01976	CDS	1995	dinG_2	3.6.4.12	COG1199	putative ATP-dependent helicase DinG 
IKELMNLG_01977	CDS	696				hypothetical protein
IKELMNLG_01978	CDS	1947	iucA	6.3.2.38	COG4264	N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase
IKELMNLG_01979	CDS	1047	dat	2.6.1.76	COG0160	Diaminobutyrate--2-oxoglutarate aminotransferase
IKELMNLG_01980	CDS	1230				hypothetical protein
IKELMNLG_01981	CDS	1218				hypothetical protein
IKELMNLG_01982	CDS	1494	hflX		COG2262	GTPase HflX
IKELMNLG_01983	CDS	1473				hypothetical protein
IKELMNLG_01984	CDS	2178				hypothetical protein
IKELMNLG_01985	CDS	870	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
IKELMNLG_01986	CDS	498				hypothetical protein
IKELMNLG_01987	CDS	939	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
IKELMNLG_01988	CDS	288				hypothetical protein
IKELMNLG_01989	CDS	294				hypothetical protein
IKELMNLG_01990	CDS	714				hypothetical protein
IKELMNLG_01991	CDS	1518	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
IKELMNLG_01992	CDS	1203				hypothetical protein
IKELMNLG_01993	CDS	660	nreC_2		COG2197	Oxygen regulatory protein NreC
IKELMNLG_01994	CDS	1077				hypothetical protein
IKELMNLG_01995	CDS	486	khtT_1		COG0490	K(+)/H(+) antiporter subunit KhtT
IKELMNLG_01996	CDS	1236	khtU_2		COG0475	K(+)/H(+) antiporter subunit KhtU
IKELMNLG_01997	CDS	540				hypothetical protein
IKELMNLG_01998	CDS	996				hypothetical protein
IKELMNLG_01999	CDS	1446	sasA_5	2.7.-.-		Adaptive-response sensory-kinase SasA
IKELMNLG_02000	CDS	687	regX3_1		COG0745	Sensory transduction protein regX3
IKELMNLG_02001	CDS	777	glnQ_1			Glutamine transport ATP-binding protein GlnQ
IKELMNLG_02002	CDS	837	glnH		COG0834	ABC transporter glutamine-binding protein GlnH
IKELMNLG_02003	CDS	669	glnM		COG0765	putative glutamine ABC transporter permease protein GlnM
IKELMNLG_02004	CDS	900				hypothetical protein
IKELMNLG_02005	CDS	1626	mhpA_1	1.14.13.127		3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase
IKELMNLG_02006	CDS	549				hypothetical protein
IKELMNLG_02007	CDS	399	glpE	2.8.1.1		Thiosulfate sulfurtransferase GlpE
IKELMNLG_02008	CDS	783	recX			Regulatory protein RecX
IKELMNLG_02009	CDS	1125	recA		COG0468	Protein RecA
IKELMNLG_02010	CDS	201				hypothetical protein
IKELMNLG_02011	CDS	1320				hypothetical protein
IKELMNLG_02012	CDS	195				hypothetical protein
IKELMNLG_02013	CDS	969				hypothetical protein
IKELMNLG_02014	CDS	309				hypothetical protein
IKELMNLG_02015	CDS	771				hypothetical protein
IKELMNLG_02016	CDS	867				hypothetical protein
IKELMNLG_02017	CDS	5073	srmB_1	3.6.4.13		ATP-dependent RNA helicase SrmB
IKELMNLG_02018	CDS	831	nei	3.2.2.-	COG0266	Endonuclease 8
IKELMNLG_02019	CDS	486				hypothetical protein
IKELMNLG_02020	CDS	390				hypothetical protein
IKELMNLG_02021	CDS	267				hypothetical protein
IKELMNLG_02022	CDS	471	ftpA		COG0783	Fine tangled pili major subunit
IKELMNLG_02023	CDS	381				hypothetical protein
IKELMNLG_02024	CDS	546	cinA			Putative competence-damage inducible protein
IKELMNLG_02025	CDS	792	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
IKELMNLG_02026	CDS	1482	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
IKELMNLG_02027	CDS	864	rodZ			Cytoskeleton protein RodZ
IKELMNLG_02028	CDS	2790				hypothetical protein
IKELMNLG_02029	CDS	675	pleD			Response regulator PleD
IKELMNLG_02030	CDS	5490	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
IKELMNLG_02031	CDS	2751				hypothetical protein
IKELMNLG_02032	tRNA	76				tRNA-Thr(ggt)
IKELMNLG_02033	CDS	663	arnB	2.6.1.87		UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
IKELMNLG_02034	CDS	1686	rnj	3.1.-.-	COG0595	Ribonuclease J
IKELMNLG_02035	CDS	900	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
IKELMNLG_02036	CDS	741	thyX	2.1.1.148	COG1351	Flavin-dependent thymidylate synthase
IKELMNLG_02037	CDS	240				hypothetical protein
IKELMNLG_02038	CDS	555				hypothetical protein
IKELMNLG_02039	CDS	456				hypothetical protein
IKELMNLG_02040	CDS	753	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
IKELMNLG_02041	CDS	1380		3.4.24.-	COG0612	putative zinc protease
IKELMNLG_02042	CDS	2220	pnp	2.7.7.8		Polyribonucleotide nucleotidyltransferase
IKELMNLG_02043	CDS	288	rpsO		COG0184	30S ribosomal protein S15
IKELMNLG_02044	CDS	1476				hypothetical protein
IKELMNLG_02045	CDS	3966	eccC		COG1674	ESX secretion system protein EccC
IKELMNLG_02046	CDS	489				hypothetical protein
IKELMNLG_02047	CDS	1554				hypothetical protein
IKELMNLG_02048	CDS	1353				hypothetical protein
IKELMNLG_02049	CDS	423				hypothetical protein
IKELMNLG_02050	CDS	2238				hypothetical protein
IKELMNLG_02051	CDS	639				hypothetical protein
IKELMNLG_02052	CDS	603				hypothetical protein
IKELMNLG_02053	CDS	312				hypothetical protein
IKELMNLG_02054	CDS	333				hypothetical protein
IKELMNLG_02055	CDS	297				hypothetical protein
IKELMNLG_02056	CDS	1242				hypothetical protein
IKELMNLG_02057	CDS	1527	eccB2	3.6.-.-		ESX-2 secretion system ATPase EccB2
IKELMNLG_02058	CDS	1269				hypothetical protein
IKELMNLG_02059	CDS	801				hypothetical protein
IKELMNLG_02060	CDS	1452				hypothetical protein
IKELMNLG_02061	CDS	2805				hypothetical protein
IKELMNLG_02062	CDS	1866				hypothetical protein
IKELMNLG_02063	CDS	1047	dppB_2		COG0601	Dipeptide transport system permease protein DppB
IKELMNLG_02064	CDS	954	dppC_2		COG1173	Dipeptide transport system permease protein DppC
IKELMNLG_02065	CDS	1182	btuD_5	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IKELMNLG_02066	CDS	1080	ddpF		COG1124	putative D,D-dipeptide transport ATP-binding protein DdpF
IKELMNLG_02067	CDS	957	ribF			Bifunctional riboflavin kinase/FMN adenylyltransferase
IKELMNLG_02068	CDS	4101				hypothetical protein
IKELMNLG_02069	CDS	906	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
IKELMNLG_02070	CDS	483	rbfA			Ribosome-binding factor A
IKELMNLG_02071	CDS	294				hypothetical protein
IKELMNLG_02072	CDS	1842	infB		COG0532	Translation initiation factor IF-2
IKELMNLG_02073	CDS	261				hypothetical protein
IKELMNLG_02074	CDS	1023	nusA		COG0195	Transcription termination/antitermination protein NusA
IKELMNLG_02075	CDS	534	rimP		COG0779	Ribosome maturation factor RimP
IKELMNLG_02076	CDS	564				hypothetical protein
IKELMNLG_02077	CDS	504				hypothetical protein
IKELMNLG_02078	CDS	900				hypothetical protein
IKELMNLG_02079	CDS	1704	proS	6.1.1.15	COG0442	Proline--tRNA ligase
IKELMNLG_02080	CDS	543				hypothetical protein
IKELMNLG_02081	CDS	849				hypothetical protein
IKELMNLG_02082	CDS	1158	ispG_2	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
IKELMNLG_02083	CDS	1305	rip1	3.4.24.-		Zinc metalloprotease Rip1
IKELMNLG_02084	CDS	1257	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
IKELMNLG_02085	CDS	1977		1.3.-.-	COG1960	putative acyl-CoA dehydrogenase FadE10
IKELMNLG_02086	CDS	1014	ccpA_5		COG1609	Catabolite control protein A
IKELMNLG_02087	CDS	735				hypothetical protein
IKELMNLG_02088	CDS	2244				hypothetical protein
IKELMNLG_02089	CDS	1971	bgaB	3.2.1.23		Beta-galactosidase bgaB
IKELMNLG_02090	CDS	972	araQ_4		COG0395	L-arabinose transport system permease protein AraQ
IKELMNLG_02091	CDS	1041	yteP		COG4209	putative multiple-sugar transport system permease YteP
IKELMNLG_02092	CDS	1686	lipO		COG1653	Lipoprotein LipO
IKELMNLG_02093	CDS	2883	xyl3A	3.2.1.37	COG1472	Xylan 1,4-beta-xylosidase
IKELMNLG_02094	CDS	681	lnrK_4		COG2197	Transcriptional regulatory protein LnrK
IKELMNLG_02095	CDS	1197				hypothetical protein
IKELMNLG_02096	CDS	1134				hypothetical protein
IKELMNLG_02097	CDS	1176	pimB_1	2.4.1.346	COG0438	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase
IKELMNLG_02098	CDS	414	bsr	3.5.4.23		Blasticidin-S deaminase
IKELMNLG_02099	CDS	1446	gapN	1.2.1.9	COG1012	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase
IKELMNLG_02100	CDS	1659				hypothetical protein
IKELMNLG_02101	CDS	2136				hypothetical protein
IKELMNLG_02102	CDS	1335	gabT	2.6.1.19	COG0160	4-aminobutyrate aminotransferase
IKELMNLG_02103	CDS	834				hypothetical protein
IKELMNLG_02104	CDS	705				hypothetical protein
IKELMNLG_02105	CDS	1833		3.2.1.14		Exochitinase 1
IKELMNLG_02106	CDS	459				hypothetical protein
IKELMNLG_02107	CDS	1428	puuB_1	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
IKELMNLG_02108	CDS	801	ydcV			Inner membrane ABC transporter permease protein YdcV
IKELMNLG_02109	CDS	930				hypothetical protein
IKELMNLG_02110	CDS	1194	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
IKELMNLG_02111	CDS	1248	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
IKELMNLG_02112	CDS	1536	prr_1	1.2.1.19	COG1012	Gamma-aminobutyraldehyde dehydrogenase
IKELMNLG_02113	CDS	642				hypothetical protein
IKELMNLG_02114	CDS	450				hypothetical protein
IKELMNLG_02115	CDS	714				hypothetical protein
IKELMNLG_02116	CDS	1062		3.5.4.40	COG1816	Aminodeoxyfutalosine deaminase
IKELMNLG_02117	CDS	714				hypothetical protein
IKELMNLG_02118	CDS	1161		3.4.16.4		D-alanyl-D-alanine carboxypeptidase
IKELMNLG_02119	CDS	540				hypothetical protein
IKELMNLG_02120	CDS	1200	spuE		COG0687	Spermidine-binding periplasmic protein SpuE
IKELMNLG_02121	CDS	1440	prr_2	1.2.1.19	COG1012	Gamma-aminobutyraldehyde dehydrogenase
IKELMNLG_02122	CDS	516				hypothetical protein
IKELMNLG_02123	CDS	1392		2.6.1.-	COG0161	putative aminotransferase
IKELMNLG_02124	CDS	777	btuD_6	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IKELMNLG_02125	CDS	1461				hypothetical protein
IKELMNLG_02126	CDS	408				hypothetical protein
IKELMNLG_02127	CDS	1185				hypothetical protein
IKELMNLG_02128	CDS	705				hypothetical protein
IKELMNLG_02129	CDS	801				hypothetical protein
IKELMNLG_02130	CDS	1047	potA_2	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
IKELMNLG_02131	CDS	1632				hypothetical protein
IKELMNLG_02132	CDS	1122	thiB		COG4143	Thiamine-binding periplasmic protein
IKELMNLG_02133	CDS	1107	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
IKELMNLG_02134	CDS	627				hypothetical protein
IKELMNLG_02135	CDS	753				hypothetical protein
IKELMNLG_02136	CDS	240				IS481 family transposase IS1652
IKELMNLG_02137	CDS	771				IS21 family transposase ISChy4
IKELMNLG_02138	CDS	1218				hypothetical protein
IKELMNLG_02139	CDS	996				hypothetical protein
IKELMNLG_02140	CDS	888				hypothetical protein
IKELMNLG_02141	CDS	465	rppH_1	3.6.1.-		RNA pyrophosphohydrolase
IKELMNLG_02142	CDS	780	nagR_3		COG2188	HTH-type transcriptional repressor NagR
IKELMNLG_02143	CDS	207				hypothetical protein
IKELMNLG_02144	CDS	138				hypothetical protein
IKELMNLG_02145	CDS	2307	xerC_2			Tyrosine recombinase XerC
IKELMNLG_02146	CDS	237				hypothetical protein
IKELMNLG_02147	CDS	243				hypothetical protein
IKELMNLG_02148	CDS	426				hypothetical protein
IKELMNLG_02149	CDS	330			COG3039	IS5 family transposase IS1648
IKELMNLG_02150	CDS	2661				hypothetical protein
IKELMNLG_02151	CDS	1176				hypothetical protein
IKELMNLG_02152	CDS	558	frr		COG0233	Ribosome-recycling factor
IKELMNLG_02153	CDS	762	pyrH	2.7.4.22	COG0528	Uridylate kinase
IKELMNLG_02154	CDS	837	tsf		COG0264	Elongation factor Ts
IKELMNLG_02155	CDS	933	rpsB		COG0052	30S ribosomal protein S2
IKELMNLG_02156	CDS	657				hypothetical protein
IKELMNLG_02157	CDS	540				hypothetical protein
IKELMNLG_02158	CDS	843	sigD		COG1191	RNA polymerase sigma-D factor
IKELMNLG_02159	CDS	2391				hypothetical protein
IKELMNLG_02160	CDS	507				hypothetical protein
IKELMNLG_02161	CDS	444				hypothetical protein
IKELMNLG_02162	CDS	417				hypothetical protein
IKELMNLG_02163	CDS	570				hypothetical protein
IKELMNLG_02164	CDS	351				hypothetical protein
IKELMNLG_02165	CDS	216				hypothetical protein
IKELMNLG_02166	CDS	552				hypothetical protein
IKELMNLG_02167	CDS	2271				hypothetical protein
IKELMNLG_02168	CDS	216				hypothetical protein
IKELMNLG_02169	CDS	222				hypothetical protein
IKELMNLG_02170	CDS	198				hypothetical protein
IKELMNLG_02171	CDS	702				hypothetical protein
IKELMNLG_02172	CDS	207				hypothetical protein
IKELMNLG_02173	CDS	186				hypothetical protein
IKELMNLG_02174	CDS	324				hypothetical protein
IKELMNLG_02175	tRNA	93				tRNA-Ile(gat)
IKELMNLG_02176	CDS	1626	comM		COG0606	Competence protein ComM
IKELMNLG_02177	CDS	363				hypothetical protein
IKELMNLG_02178	CDS	309				putative protein
IKELMNLG_02179	CDS	531				hypothetical protein
IKELMNLG_02180	CDS	777				hypothetical protein
IKELMNLG_02181	CDS	1011				hypothetical protein
IKELMNLG_02182	CDS	168				hypothetical protein
IKELMNLG_02183	CDS	780				hypothetical protein
IKELMNLG_02184	CDS	351	rplS		COG0335	50S ribosomal protein L19
IKELMNLG_02185	CDS	834	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
IKELMNLG_02186	CDS	567	rimM		COG0806	Ribosome maturation factor RimM
IKELMNLG_02187	CDS	240				hypothetical protein
IKELMNLG_02188	CDS	420				hypothetical protein
IKELMNLG_02189	CDS	597				hypothetical protein
IKELMNLG_02190	CDS	786				hypothetical protein
IKELMNLG_02191	CDS	618				hypothetical protein
IKELMNLG_02192	CDS	1947	ftsH_1	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
IKELMNLG_02193	CDS	1653	ffh		COG0541	Signal recognition particle protein
IKELMNLG_02194	CDS	2523	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
IKELMNLG_02195	CDS	339	glnB_1		COG0347	Nitrogen regulatory protein P-II
IKELMNLG_02196	CDS	1347	amt			Ammonia channel
IKELMNLG_02197	CDS	1503				55.5 kDa and 49.5 kDa sporulation proteins
IKELMNLG_02198	CDS	672				hypothetical protein
IKELMNLG_02199	CDS	1209	ftsY		COG0552	Signal recognition particle receptor FtsY
IKELMNLG_02200	CDS	1458				hypothetical protein
IKELMNLG_02201	CDS	1419	xylE_2			D-xylose-proton symporter
IKELMNLG_02202	CDS	3561	smc		COG1196	Chromosome partition protein Smc
IKELMNLG_02203	CDS	213				hypothetical protein
IKELMNLG_02204	CDS	282	acyP	3.6.1.7	COG1254	Acylphosphatase
IKELMNLG_02205	CDS	1191				hypothetical protein
IKELMNLG_02206	CDS	405				hypothetical protein
IKELMNLG_02207	CDS	861	fpg1	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase 1
IKELMNLG_02208	CDS	831	rnc	3.1.26.3	COG0571	Ribonuclease 3
IKELMNLG_02209	CDS	174	rpmF_1			50S ribosomal protein L32
IKELMNLG_02210	CDS	654			COG1399	putative protein
IKELMNLG_02211	CDS	1140				hypothetical protein
IKELMNLG_02212	CDS	510	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
IKELMNLG_02213	CDS	588	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
IKELMNLG_02214	CDS	2229	recG	3.6.4.12		ATP-dependent DNA helicase RecG
IKELMNLG_02215	CDS	1770				putative protein
IKELMNLG_02216	CDS	186	rpmB_1		COG0227	50S ribosomal protein L28
IKELMNLG_02217	CDS	810	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
IKELMNLG_02218	CDS	969	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
IKELMNLG_02219	tRNA	98				tRNA-Asp(gtc)
IKELMNLG_02220	CDS	1170	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
IKELMNLG_02221	CDS	1011	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
IKELMNLG_02222	CDS	795				hypothetical protein
IKELMNLG_02223	CDS	639	fbiD_1	2.7.7.68	COG1920	Phosphoenolpyruvate guanylyltransferase
IKELMNLG_02224	CDS	234				hypothetical protein
IKELMNLG_02225	CDS	657	ihfB			Integration host factor subunit beta
IKELMNLG_02226	CDS	231				hypothetical protein
IKELMNLG_02227	CDS	594	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
IKELMNLG_02228	CDS	1431	leuC	4.2.1.33		3-isopropylmalate dehydratase large subunit
IKELMNLG_02229	CDS	717	rhmR		COG1414	putative HTH-type transcriptional regulator RhmR
IKELMNLG_02230	CDS	573				hypothetical protein
IKELMNLG_02231	CDS	645				hypothetical protein
IKELMNLG_02232	tRNA	74				tRNA-Glu(ctc)
IKELMNLG_02233	tRNA	73				tRNA-Gln(ctg)
IKELMNLG_02234	tRNA	74				tRNA-Glu(ctc)
IKELMNLG_02235	tRNA	74				tRNA-Glu(ctc)
IKELMNLG_02236	tRNA	73				tRNA-Gln(ctg)
IKELMNLG_02237	CDS	735	gph_2	3.1.3.18		Phosphoglycolate phosphatase
IKELMNLG_02238	CDS	396				hypothetical protein
IKELMNLG_02239	CDS	1485	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
IKELMNLG_02240	CDS	786	yisK_3		COG0179	putative protein YisK
IKELMNLG_02241	CDS	177				hypothetical protein
IKELMNLG_02242	CDS	3990				hypothetical protein
IKELMNLG_02243	CDS	423			COG2018	Serine protease inhibitor
IKELMNLG_02244	CDS	399				hypothetical protein
IKELMNLG_02245	CDS	576				hypothetical protein
IKELMNLG_02246	CDS	3264				hypothetical protein
IKELMNLG_02247	CDS	423			COG2018	Serine protease inhibitor
IKELMNLG_02248	CDS	573				hypothetical protein
IKELMNLG_02249	CDS	582				hypothetical protein
IKELMNLG_02250	CDS	198				hypothetical protein
IKELMNLG_02251	CDS	1584	pccB_1	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
IKELMNLG_02252	CDS	2382	xly	4.2.2.12		Xanthan lyase
IKELMNLG_02253	CDS	558				hypothetical protein
IKELMNLG_02254	CDS	600				hypothetical protein
IKELMNLG_02255	CDS	1005				hypothetical protein
IKELMNLG_02256	CDS	1353				hypothetical protein
IKELMNLG_02257	CDS	1605	cimA	2.3.1.182	COG0119	(R)-citramalate synthase
IKELMNLG_02258	CDS	603	betI_3			HTH-type transcriptional regulator BetI
IKELMNLG_02259	CDS	1020	aguA	3.5.3.12	COG2957	Agmatine deiminase
IKELMNLG_02260	CDS	1677	ureC_1	3.5.1.5		Urease subunit alpha
IKELMNLG_02261	CDS	684	ureA_1	3.5.1.5	COG0831	Urease subunit alpha
IKELMNLG_02262	CDS	1431				hypothetical protein
IKELMNLG_02263	CDS	1089	ilvE_1	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
IKELMNLG_02264	CDS	1044	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
IKELMNLG_02265	CDS	132				hypothetical protein
IKELMNLG_02266	CDS	1641	rocA	1.2.1.88		1-pyrroline-5-carboxylate dehydrogenase
IKELMNLG_02267	CDS	927	putB	1.5.5.2	COG0506	Proline dehydrogenase 2
IKELMNLG_02268	CDS	1269				hypothetical protein
IKELMNLG_02269	CDS	591				hypothetical protein
IKELMNLG_02270	CDS	1548	lfrA_1		COG0477	Multidrug efflux pump LfrA
IKELMNLG_02271	CDS	1590	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
IKELMNLG_02272	CDS	999	ilvC_2	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
IKELMNLG_02273	CDS	525	ilvH	2.2.1.6	COG0440	Acetolactate synthase small subunit
IKELMNLG_02274	CDS	1842	ilvB1	2.2.1.6	COG0028	Acetolactate synthase large subunit IlvB1
IKELMNLG_02275	CDS	3111				hypothetical protein
IKELMNLG_02276	CDS	942		1.17.1.9		Formate dehydrogenase, mitochondrial
IKELMNLG_02277	CDS	999	iolS_2	1.1.1.-	COG0667	Aldo-keto reductase IolS
IKELMNLG_02278	CDS	1209				hypothetical protein
IKELMNLG_02279	CDS	210				hypothetical protein
IKELMNLG_02280	CDS	3276				hypothetical protein
IKELMNLG_02281	CDS	186				hypothetical protein
IKELMNLG_02282	CDS	627				hypothetical protein
IKELMNLG_02283	CDS	585	ydaF_2	2.3.1.-	COG1670	Putative ribosomal N-acetyltransferase YdaF
IKELMNLG_02284	CDS	2247	ydfJ_3		COG2409	Membrane protein YdfJ
IKELMNLG_02285	CDS	1515	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
IKELMNLG_02286	CDS	240				hypothetical protein
IKELMNLG_02287	CDS	1494	gatA_2	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
IKELMNLG_02288	CDS	297	gatC	6.3.5.-	COG0721	Glutamyl-tRNA(Gln) amidotransferase subunit C
IKELMNLG_02289	CDS	495				hypothetical protein
IKELMNLG_02290	CDS	372				hypothetical protein
IKELMNLG_02291	CDS	2241				hypothetical protein
IKELMNLG_02292	CDS	2208	ligA_2	6.5.1.2	COG0272	DNA ligase A
IKELMNLG_02293	CDS	996				hypothetical protein
IKELMNLG_02294	CDS	690		1.-.-.-		putative oxidoreductase
IKELMNLG_02295	CDS	540	log	3.2.2.-	COG1611	Cytokinin riboside 5'-monophosphate phosphoribohydrolase
IKELMNLG_02296	CDS	342				hypothetical protein
IKELMNLG_02297	CDS	336				hypothetical protein
IKELMNLG_02298	CDS	1131	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
IKELMNLG_02299	CDS	729				hypothetical protein
IKELMNLG_02300	CDS	1170	iscS_1	2.8.1.7	COG1104	IscS-like cysteine desulfurase
IKELMNLG_02301	CDS	294				hypothetical protein
IKELMNLG_02302	CDS	168				hypothetical protein
IKELMNLG_02303	CDS	627	fabR		COG1309	HTH-type transcriptional repressor FabR
IKELMNLG_02304	CDS	1041				hypothetical protein
IKELMNLG_02305	CDS	681				hypothetical protein
IKELMNLG_02306	CDS	1491	btuD_7	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IKELMNLG_02307	CDS	1098	oppD_3		COG0444	Oligopeptide transport ATP-binding protein OppD
IKELMNLG_02308	CDS	999	gsiC_3		COG0601	Glutathione transport system permease protein GsiC
IKELMNLG_02309	CDS	1803				hypothetical protein
IKELMNLG_02310	CDS	1008	gsiD_2		COG1173	Glutathione transport system permease protein GsiD
IKELMNLG_02311	CDS	759				hypothetical protein
IKELMNLG_02312	CDS	768				hypothetical protein
IKELMNLG_02313	CDS	669				hypothetical protein
IKELMNLG_02314	CDS	1119	gcvT_1	2.1.2.10	COG0404	Aminomethyltransferase
IKELMNLG_02315	CDS	378	gcvH		COG0509	Glycine cleavage system H protein
IKELMNLG_02316	CDS	1263	glyA2	2.1.2.1	COG0112	Serine hydroxymethyltransferase 2
IKELMNLG_02317	CDS	1368	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
IKELMNLG_02318	CDS	1434	yhjE			Inner membrane metabolite transport protein YhjE
IKELMNLG_02319	CDS	735		3.4.17.14		Zinc D-Ala-D-Ala carboxypeptidase
IKELMNLG_02320	CDS	558	lyc	3.2.1.17	COG3409	Autolytic lysozyme
IKELMNLG_02321	CDS	663				hypothetical protein
IKELMNLG_02322	CDS	213				hypothetical protein
IKELMNLG_02323	CDS	915				hypothetical protein
IKELMNLG_02324	CDS	639				hypothetical protein
IKELMNLG_02325	CDS	615				hypothetical protein
IKELMNLG_02326	CDS	504				hypothetical protein
IKELMNLG_02327	CDS	768	crt	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
IKELMNLG_02328	CDS	1311	lppS	2.3.2.-	COG1376	Putative L,D-transpeptidase LppS
IKELMNLG_02329	CDS	1251	ldtB_1	2.3.2.-	COG1376	L,D-transpeptidase 2
IKELMNLG_02330	CDS	2259	glgX_3	3.2.1.-	COG1523	Glycogen operon protein GlgX 
IKELMNLG_02331	CDS	675	liaR_2		COG2197	Transcriptional regulatory protein LiaR
IKELMNLG_02332	CDS	1293				hypothetical protein
IKELMNLG_02333	CDS	750				hypothetical protein
IKELMNLG_02334	CDS	903	lnrL_2	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
IKELMNLG_02335	CDS	1983		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
IKELMNLG_02336	CDS	1884		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
IKELMNLG_02337	CDS	1818	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
IKELMNLG_02338	CDS	1752			COG1132	putative ABC transporter ATP-binding protein
IKELMNLG_02339	CDS	2052		3.4.-.-		Transglutaminase-activating metalloprotease
IKELMNLG_02340	CDS	1650		3.4.-.-		Transglutaminase-activating metalloprotease
IKELMNLG_02341	CDS	567				hypothetical protein
IKELMNLG_02342	CDS	2769	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
IKELMNLG_02343	CDS	2028	glgE1	2.4.99.16	COG0366	Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase 1
IKELMNLG_02344	CDS	1701	treS_2	3.2.1.1	COG0366	Trehalose synthase/amylase TreS
IKELMNLG_02345	CDS	1395	mak_2	2.7.1.175	COG3281	Maltokinase
IKELMNLG_02346	CDS	2367	glgB_2	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
IKELMNLG_02347	CDS	2268				hypothetical protein
IKELMNLG_02348	CDS	330	trxA_1		COG0526	Thioredoxin 1
IKELMNLG_02349	CDS	399	cueR		COG0789	HTH-type transcriptional regulator CueR
